Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
72,2003,NBA,1,21,ATL,Boris Diaw,21.076,F-C,fr,,2004,2017,1064,27,8.6,4.4,3.5,0.6,0.5,0.493,0.529,0.336,0.717,51.6,0.086
73,1999,NBA,1,21,GSW,Jeff Foster,22.17,F-C,us,Texas State University,2000,2012,764,20.6,4.9,6.9,0.9,0.7,0.4,0.497,0.504,0.13,0.615,47.5,0.145
74,2002,NBA,1,23,DET,Tayshaun Prince,22.124,F,us,University of Kentucky,2003,2016,1017,31,11.1,4.3,2.4,0.6,0.5,0.455,0.47,0.367,0.756,63.1,0.096
75,2008,NBA,1,24,SEA,Serge Ibaka,18.286,F-C,cg,,2010,2018,679,28.9,12.1,7.2,0.7,0.4,2.2,0.512,0.542,0.367,0.761,57.8,0.141
76,2006,NBA,1,24,MEM,Kyle Lowry,20.1,G,us,Villanova University,2007,2018,791,31.1,14.4,4.2,5.9,1.3,0.3,0.425,0.466,0.37,0.803,80,0.156
77,1999,NBA,1,24,UTA,Andrei Kirilenko,18.136,F,ru,,2002,2015,797,30,11.8,5.5,2.7,1.4,1.8,0.474,0.51,0.31,0.754,75.4,0.151
78,2008,NBA,1,25,HOU,Nicolas Batum,19.199,F-G,fr,,2009,2018,692,31.6,12.1,5.3,3.8,1,0.6,0.434,0.502,0.355,0.839,50.4,0.111
79,2001,NBA,1,25,SAC,Gerald Wallace,18.344,F,us,University of Alabama,2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,0.469,0.502,0.312,0.709,59.7,0.116
80,2008,NBA,1,26,SAS,George Hill,22.059,G,us,Indiana University-Purdue University Indianapolis,2009,2018,666,28.8,11.6,3.2,3.3,0.9,0.3,0.453,0.493,0.383,0.8,57.1,0.143
81,2004,NBA,1,26,SAC,Kevin Martin,21.149,G,us,Western Carolina University,2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,0.437,0.464,0.384,0.87,61.3,0.137
82,2001,NBA,1,26,PHI,Samuel Dalembert,20.053,C,ht,Seton Hall University,2002,2015,886,24.4,7.7,7.8,0.5,0.5,1.7,0.521,0.522,0.083,0.706,51.3,0.114
83,2001,NBA,1,28,SAS,Tony Parker,19.046,G,be,,2002,2018,1198,31.1,15.8,2.8,5.7,0.9,0.1,0.492,0.511,0.326,0.752,110.4,0.142
84,2011,NBA,1,30,CHI,Jimmy Butler,21.287,F-G,us,Marquette University,2012,2018,458,32.8,16.4,4.9,3.4,1.5,0.5,0.452,0.485,0.339,0.832,58.2,0.186
85,2005,NBA,1,30,NYK,David Lee,22.066,F,us,University of Florida,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,0.535,0.537,0.034,0.772,76,0.15
86,2001,NBA,2,31,GSW,Gilbert Arenas,19.177,G,us,University of Arizona,2002,2012,552,35.1,20.7,3.9,5.3,1.6,0.2,0.421,0.458,0.351,0.803,51.3,0.127
87,2008,NBA,2,35,LAC,DeAndre Jordan,19.345,C,us,Texas A&M University,2009,2018,750,28.1,9.4,10.7,0.7,0.6,1.7,0.673,0.674,0.091,0.446,76.3,0.174
88,2002,NBA,2,35,CLE,Carlos Boozer,20.223,F-C,de,Duke University,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,0.521,0.522,0.071,0.722,80.3,0.143
89,2001,NBA,2,38,DET,Mehmet Okur,22.038,C-F,tr,,2003,2012,634,29.1,13.5,7,1.7,0.5,0.7,0.458,0.484,0.375,0.797,54.7,0.142
